paper_id,source_url,doi
06-AE-NGUYEN VAN KHANH(36-45)41,https://doi.org/10.22144/ctu.jen.2016.041,10.22144/ctu.jen.2016.041
06-AG-VO THANH PHONG(38-46)025,https://doi.org/10.22144/ctu.jen.2017.025,10.22144/ctu.jen.2017.025
06-AV-TRAN NGOC BICH(40-45)006,https://doi.org/10.22144/ctu.jen.2018.006,10.22144/ctu.jen.2018.006
06-BE-LE THI MEN(33-38),,
06-BT-NGO THI PHUONG DUNG(32-37),https://doi.org/10.22144/ctu.jen.2016.021,10.22144/ctu.jen.2016.021
06-BT-NGUYEN LE ANH KHOA(38-43)022,https://doi.org/10.22144/ctu.jen.2019.022,10.22144/ctu.jen.2019.022
06-BT-TRAN THANH THAO(42-48)037,https://doi.org/10.22144/ctu.jen.2019.037,10.22144/ctu.jen.2019.037
06-CE-LE THANH THAO(48-56)006,https://doi.org/10.22144/ctu.jen.2021.006,10.22144/ctu.jen.2021.006
06-DE-NGUYEN THI HUYNH PHUONG(47-58)006,https://doi.org/10.22144/ctu.jen.2017.006,10.22144/ctu.jen.2017.006
06-E7-LE THI XA(39-48)093,https://doi.org/10.22144/ctu.jsi.2018.093,10.22144/ctu.jsi.2018.093
06-ED-BUI LE DIEM(42-48)006,https://doi.org/10.22144/ctu.jen.2019.006,10.22144/ctu.jen.2019.006
06-ED-DANG VU HOAI NHAN(45-53)037,https://doi.org/10.22144/ctu.jen.2018.037,10.22144/ctu.jen.2018.037
06-ED-NGUYEN THI KIEU DIEM(39-47)039,https://doi.org/10.22144/ctu.jen.2021.039,10.22144/ctu.jen.2021.039
06-ED-PHUONG HOANG YEN(37-45),,
06-ED-VO PHUONG QUYEN(38-44)022,https://doi.org/10.22144/ctu.jen.2018.022,10.22144/ctu.jen.2018.022
06-ET-DANG HUYNH GIAO(47-53)023,https://doi.org/10.22144/ctu.jen.2020.023,10.22144/ctu.jen.2020.023
06-ET-NGUYEN HUU QUANG(54-61)006,https://doi.org/10.22144/ctu.jen.2022.006,10.22144/ctu.jen.2022.006
06-ET-NGUYEN VAN DAT(45-49)006,https://doi.org/10.22144/ctu.jen.2020.006,10.22144/ctu.jen.2020.006
06-FI-HOANG QUANG BINH(46-60)011,https://doi.org/10.22144/ctu.jen.2022.011,10.22144/ctu.jen.2022.011
06-NS-LE THI BACH(40-44)014,https://doi.org/10.22144/ctu.jen.2020.014,10.22144/ctu.jen.2020.014
06-PHAN VAN LONG EM(43-51)029,https://doi.org/10.22144/ctu.jen.2021.029,10.22144/ctu.jen.2021.029
07-1146-NGO MINH TAN(52-57)322,https://doi.org/10.22144/ctujoisd.2024.322,10.22144/ctujoisd.2024.322
"07-478-FI-Gabito, Porfirio P(58-63)007",https://doi.org/10.22144/ctu.jen.2023.007,10.22144/ctu.jen.2023.007
07-550-B-NGUYEN VAN MANH(51-59)020,https://doi.org/10.22144/ctu.jen.2023.020,10.22144/ctu.jen.2023.020
07-626-NGUYEN VAN THONG(72-80)052,https://doi.org/10.22144/ctujoisd.2023.052,10.22144/ctujoisd.2023.052
07-652-PHAM HONG HAI(66-75)269,https://doi.org/10.22144/ctujoisd.2024.269,10.22144/ctujoisd.2024.269
07-685-QUOC DINH TRUONG(56-61)035,https://doi.org/10.22144/ctujoisd.2023.035,10.22144/ctujoisd.2023.035
07-773-TRAN THI NGOC NHUNG(66-74)292,https://doi.org/10.22144/ctujoisd.2024.292,10.22144/ctujoisd.2024.292
07-804-PHAM HUU HA GIANG(44-50)280,https://doi.org/10.22144/ctujoisd.2024.280,10.22144/ctujoisd.2024.280
07-850-TRONG PHUOC HUYNH(64-70)307,https://doi.org/10.22144/ctujoisd.2024.307,10.22144/ctujoisd.2024.307
07-AE-TRAN THI BICH QUYEN(46-51)42,https://doi.org/10.22144/ctu.jen.2016.042,10.22144/ctu.jen.2016.042
07-AV-NGUYEN THI MONG DIEP(47-55)026,https://doi.org/10.22144/ctu.jen.2017.026,10.22144/ctu.jen.2017.026
07-BE-LE THI MINH THUY(39-46),,
07-BT-NGUYEN NGOC THANH TIEN(44-50)023,https://doi.org/10.22144/ctu.jen.2019.023,10.22144/ctu.jen.2019.023
07-CE-LUU NGUYEN QUOC HUNG(57-65)007,https://doi.org/10.22144/ctu.jen.2021.007,10.22144/ctu.jen.2021.007
07-DE-VUONG QUOC DUY(59-64)007,https://doi.org/10.22144/ctu.jen.2017.007,10.22144/ctu.jen.2017.007
07-E8-LE VAN PHONG(49-53)094,https://doi.org/10.22144/ctu.jsi.2018.094,10.22144/ctu.jsi.2018.094
07-EC-NGUYEN PHAM THANH NAM(46-55)007,https://doi.org/10.22144/ctu.jen.2018.007,10.22144/ctu.jen.2018.007
07-EC-PHAN ANH TU(38-48),https://doi.org/10.22144/ctu.jen.2016.022,10.22144/ctu.jen.2016.022
07-ED-DO THANH NHAN(49-56)038,https://doi.org/10.22144/ctu.jen.2019.038,10.22144/ctu.jen.2019.038
07-ED-DUONG HUU TONG(54-62)038,https://doi.org/10.22144/ctu.jen.2018.038,10.22144/ctu.jen.2018.038
07-ED-PHUONG HOANG YEN(49-59)007,https://doi.org/10.22144/ctu.jen.2019.007,10.22144/ctu.jen.2019.007
07-EN-NGUYEN DINH GIANG NAM(45-51)023,https://doi.org/10.22144/ctu.jen.2018.023,10.22144/ctu.jen.2018.023
07-EN-TON NU LIEN HUONG(46-49),,
07-ET-LUONG HUYNH VU THANH(54-65)024,https://doi.org/10.22144/ctu.jen.2020.024,10.22144/ctu.jen.2020.024
07-ET-NGUYEN NHU TUONG AN(62-73)007,https://doi.org/10.22144/ctu.jen.2022.007,10.22144/ctu.jen.2022.007
07-ET-NGUYEN THI NHU Y(48-57)040,https://doi.org/10.22144/ctu.jen.2021.040,10.22144/ctu.jen.2021.040
07-ET-PHAM VAN HUNG(50-57)007,https://doi.org/10.22144/ctu.jen.2020.007,10.22144/ctu.jen.2020.007
07-FI-TRAN THI THANH HIEN(61-72)016,https://doi.org/10.22144/ctu.jen.2022.016,10.22144/ctu.jen.2022.016
07-NS-NGUYEN DIEN TRUNG(45-52)015,https://doi.org/10.22144/ctu.jen.2020.015,10.22144/ctu.jen.2020.015
